YEAR,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust,condition,updated
2001,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2002,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2003,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2004,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2005,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2006,0,1,0,0,0,0,0,0,1,058,"27 July, 2020"
2007,0,0,0,0,0,0,1,0,1,058,"27 July, 2020"
2008,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2009,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2010,0,1,0,0,0,0,0,0,1,058,"27 July, 2020"
2011,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2012,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2013,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2014,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2015,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2016,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2017,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2018,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2019,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2020,0,0,0,0,0,0,0,0,0,058,"27 July, 2020"
2001,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2002,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2003,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2004,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2005,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2006,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2007,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2008,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2009,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2010,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2011,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2012,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2013,0,0,0,1,0,0,0,0,1,063,"27 July, 2020"
2014,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2015,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2016,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2017,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2018,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2019,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
2020,0,0,0,0,0,0,0,0,0,063,"27 July, 2020"
1995,5,271,13,445,3,0,6,16,759,048,"27 July, 2020"
1996,2,172,30,573,3,0,44,52,876,048,"27 July, 2020"
1997,1,185,39,361,3,0,35,63,687,048,"27 July, 2020"
1998,0,134,24,330,1,0,17,18,524,048,"27 July, 2020"
1999,0,248,18,310,0,2,13,46,637,048,"27 July, 2020"
2000,0,197,11,345,12,1,19,58,643,048,"27 July, 2020"
2001,2,395,37,602,6,1,20,75,1138,048,"27 July, 2020"
2002,0,395,23,386,3,0,60,39,906,048,"27 July, 2020"
2003,1,450,14,869,2,0,8,21,1365,048,"27 July, 2020"
2004,2,401,22,581,7,0,16,69,1098,048,"27 July, 2020"
2005,0,449,51,680,40,1,14,78,1313,048,"27 July, 2020"
2006,8,642,130,950,187,0,30,179,2126,048,"27 July, 2020"
2007,6,574,91,822,60,0,26,129,1708,048,"27 July, 2020"
2008,7,530,75,1242,38,1,31,155,2079,048,"27 July, 2020"
2009,3,359,118,794,36,3,17,141,1471,048,"27 July, 2020"
2010,4,260,82,906,58,3,77,74,1464,048,"27 July, 2020"
2011,2,461,63,870,129,2,188,150,1865,048,"27 July, 2020"
2012,2,356,87,979,48,0,40,215,1727,048,"27 July, 2020"
2013,6,427,405,2223,75,3,72,1025,4236,048,"27 July, 2020"
2014,1,163,30,473,1,0,18,54,740,048,"27 July, 2020"
2015,2,182,26,360,1,1,10,46,628,048,"27 July, 2020"
2016,0,43,13,250,5,0,5,13,329,048,"27 July, 2020"
2017,0,123,18,241,2,0,17,47,448,048,"27 July, 2020"
2018,1,74,4,217,5,1,6,36,344,048,"27 July, 2020"
2019,0,63,5,149,5,13,6,14,255,048,"27 July, 2020"
2020,0,184,5,276,1,0,0,14,480,048,"27 July, 2020"
1992,0,NN,NN,0,NN,0,0,NN,0,045,"27 July, 2020"
1993,0,NN,NN,0,0,0,0,NN,0,045,"27 July, 2020"
