YEAR,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust,condition,updated
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,058,"11 June, 2020"
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,063,"11 June, 2020"
1995,1.6,4.4,7.2,13.7,0.2,0.0,0.1,0.9,4.2,048,"11 June, 2020"
1996,0.6,2.8,16.3,17.3,0.2,0.0,1.0,2.9,4.8,048,"11 June, 2020"
1997,0.3,3.0,20.6,10.8,0.2,0.0,0.8,3.5,3.7,048,"11 June, 2020"
1998,0.0,2.1,12.4,9.7,0.1,0.0,0.4,1.0,2.8,048,"11 June, 2020"
1999,0.0,3.9,9.2,9.0,0.0,0.4,0.3,2.5,3.4,048,"11 June, 2020"
2000,0.0,3.1,5.5,9.8,0.8,0.2,0.4,3.1,3.4,048,"11 June, 2020"
2001,0.6,6.0,18.3,16.9,0.4,0.2,0.4,3.9,5.9,048,"11 June, 2020"
2002,0.0,6.0,11.4,10.6,0.2,0.0,1.2,2.0,4.6,048,"11 June, 2020"
2003,0.3,6.8,6.9,23.2,0.1,0.0,0.2,1.1,6.9,048,"11 June, 2020"
2004,0.6,6.0,10.9,15.2,0.5,0.0,0.3,3.5,5.5,048,"11 June, 2020"
2005,0.0,6.7,24.8,17.4,2.6,0.2,0.3,3.9,6.5,048,"11 June, 2020"
2006,2.4,9.5,62.2,23.7,12.0,0.0,0.6,8.7,10.4,048,"11 June, 2020"
2007,1.8,8.4,42.6,20.0,3.8,0.0,0.5,6.1,8.2,048,"11 June, 2020"
2008,2.0,7.6,34.1,29.4,2.4,0.2,0.6,7.1,9.8,048,"11 June, 2020"
2009,0.8,5.1,52.2,18.4,2.2,0.6,0.3,6.3,6.8,048,"11 June, 2020"
2010,1.1,3.6,35.7,20.6,3.6,0.6,1.4,3.2,6.6,048,"11 June, 2020"
2011,0.5,6.4,27.2,19.4,7.9,0.4,3.4,6.4,8.3,048,"11 June, 2020"
2012,0.5,4.9,36.9,21.4,2.9,0.0,0.7,8.9,7.6,048,"11 June, 2020"
2013,1.6,5.8,167.5,47.8,4.5,0.6,1.2,41.2,18.3,048,"11 June, 2020"
